UID,Task_State,Method,Group,Timestamp,q1_best_method,q2_worst_method,q3_reason,q4_metaphor,q5_glvbo_agency,q6_process,q7_fixation,q8_creativity,q9_trust_pos,q10_trust_neg,q11_glvbo_trust,q12_improvement,感想
17,complete,final,mario,2025-09-06T16:12:47.362Z,glv-bo,standard-bo,"AIが、こちらの言い分を聞き入れてくれない感じがすると、こちらも、AIの提案を聞き入れようという気持ちが小さくなってしまった気がするから。
AIに対して、何でもいいから指示を与えたいと思った。そうでないと、なぜその提案をしてきたのかを、あまり積極的に予想しようと思えず、予想しようとしても難しかった。",,,,フクロウのときに、「何か面白い仕掛けを1つ加えたいけど、思いつかない」と思っていたとき、テキトウに AI の提案を更新していたら、その中の一つから着想を得ることができた。提案を見て、「複数のルートでゴールできる構成も可能かも」と思いつき、その方針で進めることにした。,AIの提案が、あまりにもつまらなすぎるときに、「そんなのじゃゲームにならない。それなら、ここをもっと難しくしないと」などと考えることで、「右と上のキーの押し具合を、よく調整しないと死んでしまう」ような構成にしようと思えた。,賢いとは思わなかった。あまり理解されないし、自分もAIを理解できなかったと感じた。しかし、役に立つとは思った。行き詰まったときに、とりあえず手癖のようにポチポチと AI に聞くボタンを押していれば、何かが思いつくかもしれない、という期待感が、常にあった。それが、精神的にも支えになったと思うし、実際、AI の提案によって思いついた場面は何度もあった。,意図を理解していない（加えて、自分が AI の意図を理解できない）というのは、ずっと感じていた。なんとなく、「いちばん下の行に、地面が長く作られることが多い」のような規則は感じ取ったが、それ以上はわからなかった。,,"システムの提案するマップ全体を受け入れるか、受け入れないか、という選択肢なのが、少し辛かった。
多くの場合、いま自分の手もとにあるマップの一部は、どうしても変えたくない。だから、全体を塗り替えられたくなくて、AI の提案を全面的に受け入れることは少なかった。
AI の提案から、部分的に取り入れたい内容を見つけたとしても、それを手もとのマップに適合するように考える作業が、思ったより難しかった。
なので、マップ全体を総入れ替えする選択肢を出すのではなく、「今なら、ここにこういう部品を入れられるよ」のような、モジュール的に提案してくれると嬉しいと思う。
思いつきだが、Github Copilot のコード補完のように、今描いているマップの続きを、半透明のブロックで描いてくれて、自分の行動に合わせて提案し続けてほしい。

また、どちらかというと、AI には、具体的なブロックの配置ではなく、より抽象的なテーマ決めのほうを助けてほしいと思った。
今回の実験で、自分は「最初に試行錯誤しながらテーマを決めて、それを実現する方向に進んでいく」という方針を取っていた。
そのなかで、自分が一番むずかしいと感じたのは、何をテーマにして、どういうおもしろポイントを入れていくか、というのを思いつくことだった。ひとたび、それが決まってしまえば、あとは苦労することは無かったし、楽しかった。
なので、例えば、今のシステムのように、具体的な配置を提案してくれるのは良いので、その配置の解釈の仕方まで AI が教えてくれると嬉しい。

今のシステムに対して、こちらから能動的に出せる指示は、ボタンひとつ、スライダーひとつだった。
それを使ってみて思ったのは、「もっと、システムに言いたいことがある」ということだった。
理想を言うと、言葉による条件付けをしたいと思った。指示する言葉が思いつかない問題もありそうなので、それも AI から提案してほしいと思った。",
18,complete,final,mario,2025-09-06T18:43:10.720Z,glv-bo,standard-bo,ウマ手法にて、AI提案はサポートはサポートしてるけど、ちょっと中途半端感が強い,,,,既存のデザインに縛られていたとき。提案が合理的かどうかに関わらず、3つのAI活用している手法はいずれも新たな視点を提供できた,AIがGOALが完全に囲まれるというPLAY不能な提案をしたけど、あの提案を見た時、GOALを半囲みにするデザインの方が面白いかもって急に思った,望むデザインに近いAI提案が現れたとき、特にイルカ手法,STARTやGOALが完全に囲まれて明らかにPLAYできないデザイン提案が出た時,,キャラ移動の慣性調整,
4,complete,final,mario,2025-09-04T13:09:04.776Z,manual,cma-es,自分でやるのが一番早く、正確で直感的だから。,,,,ない,ない,感じなかった,レベルデザインは論理的に行う作業なのに、何も意図が感じられずに、無闇にレベルを複雑にした時,,最低限クリアできないレベルや存在する必要がない穴などは生成しないようにしてほしい,レベルデザインの基礎を学んできたので、AIの提案がきつかった。。。
14,complete,final,mario,2025-09-06T12:45:08.873Z,manual,standard-bo,ai学習後に提案されるステージに自分の好みがあまり反映されていないように感じた,,,,なかった,groundの形について、提案されたステージからアイデアを得ることがあった,1,学習後も、提案前とあまりステージが変わらなかったとき,,セーブ機能回りでの不具合があった(正しくステージの状態が保存されていなかったりした）,
13,complete,final,mario,2025-09-06T12:56:44.184Z,manual,standard-bo,The AI is doing NOTHING but generating boring map.,,,,"I feel stuck when AI suggest 4 options but I felt not very much different across them, so I had to pick randomly",Not at all.....,"Again, sorry... but not at all","Most of the time it was not helpful, the dophin one did make sense a little bit.",,Maybe Ai can be set into larger steps so that it can make more different maps.,
12,complete,final,mario,2025-09-06T13:34:20.889Z,manual,glv-bo,自分が作ったマップの楽しさが如何に改善できるボタンを押したんですが、手法が生成した候補が自分のデザインとどのように繋がってるのかがさらに意味不明だと感じた。,,,,ヒョコ手法。,ないです。,ないです。,正直ウマ・フクロウ・イルカを使うときに意図を理解していなかった。SAVE IN GALLERYを押しても自分と関連しているケースを提案してくれないとき。,,一問一答のようなインタラクションを追加して欲しいです。使ってたツールをもっと関わって欲しい。,
21,complete,final,mario,2025-09-07T11:56:10.998Z,manual,cma-es,"ひよこ→
タスクに対して最初から作ろうと思っていたものが明確だったため、創造性のようなものを使用する場合には、AIのアシストが
10分と言う時間の中では使う場面があまりなかった。
フクロウ→

ふくろうを一回目に行ったこともあって、使い方に慣れていなかったので使いにくいと感じた。
実際のところは、他のアシスタントと大きな違いを感じなかったため、最も使いにくいと感じたものを選ぶのは難しいと感じた。
",,,,10分という時間だったため、行き詰まったと感じた瞬間はなかった。,"例えば、自分が作ろうとしていたものは、敵を配置しない
マップであったが、AIが敵のいるマップを提案したことによって、自分のマップに敵を配置しようと考えた",1人の人が短時間で大量のマップを作る場合に作業負荷を減らすために有効だと思った。,"高低差のある
ステージを作ろうと思っていたが、AIの提案するマップは高低差を利用したものが少なく、
AIを利用するよりも、自分で1から作ったほうが早いと思ったとき",,保存したマップを削除する機能,
3,complete,final,mario,2025-09-04T12:25:00.123Z,standard-bo,manual,全部自分でやらないといけないから、地面の線を引くとかもやらないといけない,,,,3個目のフクロウあたりで感じた。ウマで空中にエネミーを置けることに気づき、行き詰まりが解消されたと感じた。,ウマの最初の七つの提案のどこかで棒の上にエネミーがいることから空中にエネミーを置くことに着想を得たはず。,別に賢いとは感じなかった。単にテンプレートを提供してくれる点で役に立つと感じた。,フクロウかなんかでGoalを一番右上に編集してからconfirmを押していたが、その後の提案で同様のものが提案されなかったため。あとウマで空中にエネミーを配置したのもconfirmしたがそれも反映されなかったように感じる。,,"根本的にgoalできない提案(囲われているなど)、開始から即死の提案などはしないようになればいいと思う
あとtestplayを押すのがだるいので、編集画面からそのまま操作できたらなお良いと思う",
7,complete,final,mario,2025-09-05T06:29:53.438Z,standard-bo,manual,ウマはすぐにいい結果が出てくる感覚があった。ひよこは、広くて自由すぎるプレイグラウンドの中で、さらにAI学習をしたことがない中で作らないといけないのでイメージがない中でゲームを作らないといけなくて一番どうしたらいいかわからなかったし、面白くないものができた気がする。,,,,"ヒヨコの時にどうしたら面白くなるのかがわからなくてクソゲーになってしまった時。
AI生成とかがあればそこから改善していくだけなのであまりそのような困り方はしないで済んだ。",AIの提案によって面白いコースはできたものの、別のルートを作りたくなって最後にそういう工夫を入れた。,提案に対するFBが有用に作用していると感じた時。発想のパートナーのような感覚。,全く自分が意図した回答の方向をくめてないなと思った時。,,各Agentの特徴をもっと人口に膾炙した表現で表してほしいと思った。,
19,complete,final,mario,2025-09-07T05:52:08.988Z,standard-bo,cma-es,"感触にすぎませんが、ウマは、少し変わったコースも出していたような感じで、自分の作りたいコースの良いアイデアになっていた気がしました。一方、フクロウは、ごく普通のコースしか出さないような感じで、あまりどの提案を利用するか決めがたい感じでした。
",,,,行くづまったことはあまりなく、むしろはじめにどのようなコースをつくるかで、基本的にどの手法の提案も助けになった。(例えばウマはそこそこに敵や穴や地面を配置してくれて、土台として利用しやすく、一方、フクロウは、少し地面が多いコースの提案が地下コースの発想につながった),フクロウによるし地面が多いコースの提案が地下コースの発想につながった,あまり賢いとは感じなかったが、全体的に、それなりに、地面と敵と穴をバランスよく配置して、コースが合理的であるものを提案されたときは、良かった。,スタートしたら死ぬコースや、敵などがほぼいなく、地面だらけのコースなど。,,AIの提案の大きさ(学習の度合？)の部分はうまく使えなかったです。あと一度AIの提案を決めたら、そこから一つのコースを作り上げていくので、AIの提案を使用する回数がすくなく、学習データが十分に与えられず、あまり有効的に使えているとは感じなかったです。,
20,complete,final,mario,2025-09-07T05:55:56.101Z,standard-bo,manual,AIの提案がなく、自分1人で作成すると作業効率が悪いと感じた。一方で、自分1人で作業をした後にAIとともに作業を進めることによって、作業のしやすさを感じた。,,,,"作成したゲームを試して、なかなかクリアできなかったとき。
AIによる別の提案を受けることによって、程よく難しいゲーム内容を考えることができた。",自分1人では思いつかないような構成を提案してもらうことで、簡単に修正を加えるだけで面白いと感じるゲームを作ることができた。,基本的な構成を考えてくれるため、少しの修正で納得のいくデザインを考えられたとき。,ほしいデザインがなかなか出ないとき。,,特になし。,
23,complete,final,mario,2025-09-07T11:11:31.013Z,standard-bo,manual,ヒヨコは何も提案がない状態で作らなければならずしんどかった。ウマはいい感じに外れたコースを提案してくれたため、いろんな候補を編み出せた,,,,コースの目新しさがなくなった時に、AIで何回か生成することで、新しいコースの作成に取り組むことができたように感じる,敵の配置については、こういうふうに配置すると難易度が変わってくるといったふうに気づけたのはよかった,コース作りの手がかりがなくなった時に、適当に生成してくれるのでその中で自分だったらこう直すといったことが感じられるコースを見つけるのに役立った,「こういうコースを作りたい」と思っていても、そのとおりにはうまくいかないことが多かった,,コース同士を横並びで見て、比較する機能があれば良かったかもしれない,
24,complete,final,mario,2025-09-07T11:18:31.223Z,standard-bo,glv-bo,イルカとフクロウは、ほぼ同列でレベルデザインとビジュアルデザインなどが共に満たされていることが少なかった,,,,全体的な面白さは私自身でないと解決できないが一つひとつのギミックはAIの提案が助かった。,はい。ゴールをエネミーで挟む提案が良かったです。それによってダーツのような面白みが生まれました。,今までのコースを捨てて新しいコースを作り出す時の心理的な障壁を取り除いてくれるのに役立ちました！,どうしても全体としてのストーリー性のようなものが物足りなく感じました。それはテーマとでもいうべき何かです。そのテーマ性とコースが噛み合うことが良いものを作るには必要だおと思います。,,液タブやiPadで遊ぶことを前提にしたUIで洗練したものがあれば非常に面白いと思います！！,
22,complete,final,mario,2025-09-07T13:24:57.229Z,standard-bo,cma-es,"フクロウは保存すると意図したところにおいていたものがAIからの提案によって省かれるからあれれってなった。ウマは保存した時にきちんと保存されていた（と記憶している）からそれを参考にしてデザインしていけるから使いやすかった。もとに戻す機能とかがあればイルカなども良いなと思った。
",,,,自分が意図したところにおいたブロックがAIによって省かれて、元の形に戻れないところが行き詰まった。,それでゴールできるのかなという提案があったが、がんばってやってみたらゴールできたので、こういう可能性もあるんだなと思った。,余計なブロックを排除してくれるところは役に立つなと感じた。,上下の二層に分かれているステージを作ろうとしたが、（己みたいなルートでゴールできるもの）AIの探索時には上のコースが消えたものが提案されたからその辺は微妙なのかなと思った。,,保存してAIによって変化した部分を元に戻せるような機能があるといいなぁと思った。提案を受け入れてやってみたら前の方が良かったなと感じる部分がたまにあったので。,
